1/1 feasible solution given by solution candidate storage, new primal bound 6.210000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 540 constraints
    540 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   158 |     - |  3880k |   0 | 451 | 540 | 540 |   0 |  0 |   0 |   0 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  0.0s|     1 |     2 |   159 |     - |  3964k |   0 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  0.1s|   100 |    87 |   543 |   3.9 |  4051k |  25 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.1s|   200 |   137 |   898 |   3.7 |  4147k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.2s|   300 |   211 |  1235 |   3.6 |  4178k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.2s|   400 |   275 |  1592 |   3.6 |  4258k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.2s|   500 |   329 |  1942 |   3.6 |  4319k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.3s|   600 |   383 |  2315 |   3.6 |  4430k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.3s|   700 |   431 |  2634 |   3.5 |  4495k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.3s|   800 |   471 |  2944 |   3.5 |  4512k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.4s|   900 |   519 |  3267 |   3.5 |  4670k |  51 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.4s|  1000 |   569 |  3584 |   3.4 |  4670k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.4s|  1100 |   615 |  3886 |   3.4 |  4670k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.5s|  1200 |   651 |  4212 |   3.4 |  4793k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.5s|  1300 |   689 |  4517 |   3.4 |  4793k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.5s|  1400 |   721 |  4904 |   3.4 |  4793k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.6s|  1500 |   755 |  5271 |   3.4 |  4794k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.6s|  1600 |   793 |  5616 |   3.4 |  4794k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.6s|  1700 |   829 |  5971 |   3.4 |  4925k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.7s|  1800 |   869 |  6277 |   3.4 |  4989k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.7s|  1900 |   895 |  6625 |   3.4 |  4989k |  57 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.7s|  2000 |   933 |  6933 |   3.4 |  5153k |  58 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.8s|  2100 |   973 |  7221 |   3.4 |  5153k |  58 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.8s|  2200 |   995 |  7558 |   3.4 |  5275k |  58 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.8s|  2300 |  1023 |  7877 |   3.4 |  5275k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.9s|  2400 |  1053 |  8238 |   3.4 |  5275k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.9s|  2500 |  1083 |  8597 |   3.4 |  5521k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  0.9s|  2600 |  1111 |  8927 |   3.4 |  5521k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.0s|  2700 |  1131 |  9246 |   3.4 |  5767k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.0s|  2800 |  1161 |  9588 |   3.4 |  5767k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.1s|  2900 |  1191 |  9930 |   3.4 |  5767k |  61 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.1s|  3000 |  1221 | 10256 |   3.4 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.1s|  3100 |  1253 | 10557 |   3.4 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.2s|  3200 |  1281 | 10864 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.2s|  3300 |  1313 | 11170 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.2s|  3400 |  1337 | 11476 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.3s|  3500 |  1367 | 11749 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.3s|  3600 |  1403 | 12060 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.3s|  3700 |  1439 | 12365 |   3.3 |  5767k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.4s|  3800 |  1467 | 12706 |   3.3 |  6158k |  63 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.4s|  3900 |  1497 | 12965 |   3.3 |  6158k |  75 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.4s|  4000 |  1531 | 13271 |   3.3 |  6158k |  78 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.5s|  4100 |  1565 | 13515 |   3.3 |  6158k |  78 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.5s|  4200 |  1587 | 13778 |   3.2 |  6158k |  78 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
  1.5s|  4300 |  1609 | 14062 |   3.2 |  6158k |  78 | 451 | 540 | 540 |   0 |  0 |   0 |  40 | 3.200000e+01 | 6.210000e+01 |  94.06%|   0.31%
